SpillNumber,ProgramFacilityName,Street1,Street2,Locality,County,ZIPCode,SWISCode,DECRegion,SpillDate,SpillYear,ReceivedDate,ContributingFactor,Waterbody,Source,CloseDate,MaterialName,MaterialFamily,Quantity,Units,Recovered
7080415,CONRAIL,ARCHER ROAD,,CHILI,Monroe,,2822,8,4/15/70,1970,6/9/81,Unknown,,Railroad Car,6/11/81,#6 fuel oil,Petroleum,0,Gallons,0
45151,FORMER STELLA JEROR RES,RTS. 11/MILL ROAD,,MOIRA,Franklin,,1750,5,1/1/70,1970,3/21/01,Deliberate,,Private Dwelling,5/8/01,unknown material,Other,0,Gallons,0
9108321,MUNDY'S SERVICE STATION,ROUTE 9,,CHESTERTOWN,Warren,,5724,5,1/1/70,1970,10/22/91,Housekeeping,,Gasoline Station or other PBS Facility,11/20/00,diesel,Petroleum,0,Gallons,0
110047,OTSEGO IRON & METAL  ROSE AVE,32 ROSE AVE,OTSEGO IRON & METAL  ROSE AV,ONEONTA,Otsego,,3946,4,1/1/71,1971,1/18/02,Deliberate,,Commercial/Industrial,1/22/02,PCB oil,Petroleum,0,Gallons,0
500883,AXIOHM SITE,950 DANBY ROAD,,ITHACA,Tompkins,,5530,7,5/5/73,1973,4/21/05,Deliberate,SMALL STREAM,Commercial/Industrial,8/19/05,unknown material,Other,0,Gallons,0
7381129,W PULTENEY ST. AND CHEMUNG RIVER,W PULTENEY ST.,,CORNING,Chemung,,824,8,11/29/73,1973,11/30/73,Unknown,CHEMUNG RIVER,Unknown,2/16/11,#2 fuel oil,Petroleum,3500,Gallons,0
7380124,A.R. GUNDRY INC.,FREID HILL RD.,,NAPLES,Ontario,14512,3538,8,1/24/74,1974,1/24/74,Traffic Accident,NAPLES CREEK,Tank Truck,2/14/74,gasoline,Petroleum,264,Gallons,0
7480419,AMERICAN CAN COMPANY,111 PARCE AVE. THOMAS CRK,,FAIRPORT,Monroe,14450,2844,8,4/9/74,1974,11/11/11,Human Error,,Commercial/Industrial,5/3/74,#6 fuel oil,Petroleum,500,Gallons,0
7480727,BARGE CANAL & GENESEE RV,BARGE CANAL,,ROCHESTER,Monroe,,2800,8,7/20/74,1974,7/24/74,Unknown,,Unknown,7/27/74,unknown petroleum,Petroleum,0,Gallons,0
7481213,BARGE CANAL,ROUTE 21,,PALMYRA,Wayne,14522,5936,8,12/13/74,1974,12/13/74,Equipment Failure,,Commercial/Industrial,12/13/74,gasoline,Petroleum,250,Gallons,0
7480717,BARGE CANAL,OSWEGO BARGE CANAL,,HINMANSVILLE,Oswego,,3834,7,7/18/74,1974,7/18/74,Traffic Accident,,Commercial Vehicle,7/18/75,diesel,Petroleum,0,Gallons,0
7480906,BARGE CANAL/,BARGE CANAL,,PALMYRA,Wayne,14522,5936,8,9/6/74,1974,9/6/74,Unknown,BARGE CANAL,Vessel,9/6/74,diesel,Petroleum,30,Gallons,0
7480436,BAUSCH & LOMB INC,1400 NORTH GOODMAN STREET,,ROCHESTER,Monroe,14609,2814,8,4/2/74,1974,4/2/74,Unknown,,Commercial/Industrial,4/2/74,jet fuel,Petroleum,1000,Gallons,0
7481128,BIRD CREEK,SMITH ROAD,SOUTH ROAD,,Chemung,,800,8,11/28/74,1974,11/28/74,Tank Failure,,Private Dwelling,12/2/74,#2 fuel oil,Petroleum,0,Gallons,0
7480729,BOB'S ARCO,LIBERTY & WILLIAM ST.,,BATH,Steuben,14810,5124,8,7/29/74,1974,7/30/74,Unknown,,Gasoline Station or other PBS Facility,7/30/74,waste oil/used oil,Petroleum,45,Gallons,0
7380311,BURKE STEEL CO.,39 SHERER STREET,,ROCHESTER,Monroe,,2814,8,3/10/74,1974,3/11/74,Human Error,NONE,Tank Truck,4/23/74,#2 fuel oil,Petroleum,2000,Gallons,0
7480511,CANANDAIGUA LAKE OUTLET,CANANDAIGUA LAKE OUTLET,,SHORTSVILLE,Ontario,14548,3536,8,5/10/74,1974,5/13/74,Equipment Failure,CANANDAIGUA LAKE OUT,Commercial/Industrial,5/13/74,#2 fuel oil,Petroleum,0,Gallons,0
7480904,CANANDAIGUA/AMES MOTORS,AMES MOTORS,,CANANDAIGUA,Ontario,,3524,8,9/4/74,1974,9/4/74,Other,,Gasoline Station or other PBS Facility,9/4/74,gasoline,Petroleum,1500,Gallons,0
7481212,CANISTEO RIVER,WATER TREATMENT PLANT,,HORNELLSVILLE,Steuben,14843,5152,8,12/12/74,1974,12/12/74,Equipment Failure,,"Major Facility (MOSF) > 400,000 gal",12/12/74,#2 fuel oil,Petroleum,2000,Gallons,0
7380318,CHEMUNG BARGE CANAL,MONTOUR FALLS MARINA,,MONTOUR FALLS,Schuyler,14865,4928,8,3/18/74,1974,3/18/74,Unknown,CHEMUNG BARGE CANAL,Unknown,3/18/74,#2 fuel oil,Petroleum,1000,Gallons,0
7380317,CHEMUNG CANAL,CENTRAL ASPHALT,,WATKINS GLEN,Schuyler,14891,4928,8,3/17/74,1974,3/17/74,Vandalism,CHEMUNG CANAL,Unknown,3/17/74,#2 fuel oil,Petroleum,6000,Gallons,0
7481109,CHEMUNG RIVER,CORNING GLASS WORKS,,CORNING,Steuben,14830,5138,8,11/9/74,1974,11/9/74,Unknown,,Unknown,11/9/74,#2 fuel oil,Petroleum,4000,Gallons,0
7481011,CITIZEN,TONAWANDA CREEK,,BATAVIA,Genesee,14020,1924,8,10/9/74,1974,10/9/74,Traffic Accident,,Tank Truck,10/9/74,diesel,Petroleum,40,Gallons,0
7481010,CITIZEN,CITIZEN HOUSE,,SOUTH CORNING,Steuben,14830,5103,8,10/9/74,1974,10/9/74,Unknown,,Unknown,10/10/74,gasoline,Petroleum,0,Gallons,0
7380312,CLIFTON SPRINGS SVC AREA,NYS THRUWAY,,VICTOR,Ontario,14564,3548,8,3/12/74,1974,11/11/11,Equipment Failure,,Gasoline Station or other PBS Facility,3/14/74,gasoline,Petroleum,30,Gallons,0
7480718,CLIFTON SPRINGS SVC AREA,NYS THRUWAY,,VICTOR,Ontario,14564,3548,8,7/19/74,1974,7/19/74,Equipment Failure,,Gasoline Station or other PBS Facility,7/19/74,gasoline,Petroleum,250,Gallons,0
7480510,COHOCTON RIVER,WEST MORRIS/W WASHINGTON,,BATH,Steuben,14810,5124,8,5/10/74,1974,5/10/74,Traffic Accident,COHOCTON RIVER,Gasoline Station or other PBS Facility,5/10/74,gasoline,Petroleum,65,Gallons,0
7481022,COHOCTON RIVER,COHOCTON ROAD,,WALLACE,Steuben,14890,5122,8,10/22/74,1974,10/22/74,Traffic Accident,,Tank Truck,10/22/74,diesel,Petroleum,50,Gallons,0
7480807,COLD BROOK,EAST OF ROUTE 54,,BATH,Steuben,14810,5124,8,8/7/74,1974,8/7/74,Traffic Accident,COLD BROOK,Railroad Car,8/7/74,#2 fuel oil,Petroleum,30,Gallons,0
